"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"TP11","TPAD6R","Top","TP06R","49.7840","72.2630","90","0.6mm round"
"S2","Power Switch","Top","SS12D10L3","31.1603","75.9460","180","Switch"
"S1","Solar-USB Switch","Top","SS12D10L3","4.5720","37.1266","270","Switch"
"U2","ACS712ELCTR-05B-T","Top","FP-LC-8-IPC_A","24.6380","61.7220","180","SENSOR CURRENT HALL 5A AC/DC"
"U1","ACS712ELCTR-05B-T","Top","FP-LC-8-IPC_A","9.6520","49.4309","90","SENSOR CURRENT HALL 5A AC/DC"
"TP12","TPAD6R","Top","TP06R","73.1520","73.6600","90","0.6mm round"
"TP10","TPAD6R","Top","TP06R","32.0040","62.8650","90","0.6mm round"
"TP9","TPAD6R","Top","TP06R","32.0040","60.7060","90","0.6mm round"
"TP8","TPAD6R","Top","TP06R","71.3818","46.8630","90","0.6mm round"
"TP7","TPAD6R","Top","TP06R","50.4268","46.8630","90","0.6mm round"
"TP6","TPAD6R","Top","TP06R","29.5910","46.8630","90","0.6mm round"
"TP5","TPAD6R","Top","TP06R","66.1670","13.2080","90","0.6mm round"
"TP4","TPAD6R","Top","TP06R","51.3080","13.0810","90","0.6mm round"
"TP3","TPAD6R","Top","TP06R","36.3220","13.2080","90","0.6mm round"
"TP2","TPAD6R","Top","TP06R","14.2240","40.2590","90","0.6mm round"
"TP1","TPAD6R","Top","TP06R","3.5560","70.3580","90","0.6mm round"
"SW3","430181038816","Top","WS-TASV_L4.5W4.5H3.8_430181038816","60.5790","3.6830","0","4.5mm 3.5mm 50mA Round Button Brick nogging 4.5mm 260gf 12V SMD Tactile Switches ROHS
TSC015A03526A"
"SW2","430181038816","Top","WS-TASV_L4.5W4.5H3.8_430181038816","45.5930","3.6830","0","4.5mm 3.5mm 50mA Round Button Brick nogging 4.5mm 260gf 12V SMD Tactile Switches ROHS
TSC015A03526A"
"SW1","430181038816","Top","WS-TASV_L4.5W4.5H3.8_430181038816","30.6070","3.6830","0","4.5mm 3.5mm 50mA Round Button Brick nogging 4.5mm 260gf 12V SMD Tactile Switches ROHS
TSC015A03526A"
"R28","105O","Top","RESC2012X65N","59.6900","77.4700","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 105O 0805 Chip Resistor - Surface Mount ROHS CR0805F105RP05Z"
"R27","6.8k          Rset","Top","FP-MCR10-IPC_C","64.2856","51.5620","180","Thick Film Chip Resistor, 0805, 6.8kO, 1%, 100ppm/°C, 0.125W, 150V 
0805W8F6801T5E"
"R26","0.5O","Top","FP-MCT0603-IPC_B","67.4370","32.5715","270","RES SMD 0.5 OHM 1% 1/8W 0603 RL06FTNR500"
"R25","10k","Top","FP-MCR10-IPC_C","54.4248","5.9690","270","Thick Film Chip Resistor, 0805, 10kO, 1%, 100ppm/°C, 0.125W, 150V 
0805W8F1002T5E"
"R24","2O","Top","FP-CR0805-IPC_B","56.8671","44.1960","90","Thick Film Chip Resistors 0805 2O 0.125W 1% 250ppm/°C 
RS-05L2R00FT"
"R23","6.8k          Rset","Top","FP-MCR10-IPC_C","43.4340","51.4350","180","Thick Film Chip Resistor, 0805, 6.8kO, 1%, 100ppm/°C, 0.125W, 150V 
0805W8F6801T5E"
"R22","0.5O","Top","FP-MCT0603-IPC_B","46.3764","32.6005","270","RES SMD 0.5 OHM 1% 1/8W 0603 RL06FTNR500"
"R21","10k","Top","FP-MCR10-IPC_C","39.3700","5.9690","270","Thick Film Chip Resistor, 0805, 10kO, 1%, 100ppm/°C, 0.125W, 150V 
0805W8F1002T5E"
"R20","2O","Top","FP-CR0805-IPC_B","35.9410","44.1960","90","Thick Film Chip Resistors 0805 2O 0.125W 1% 250ppm/°C 
RS-05L2R00FT"
"R19","6.8k          Rset","Top","FP-MCR10-IPC_C","22.6060","51.3918","180","Thick Film Chip Resistor, 0805, 6.8kO, 1%, 100ppm/°C, 0.125W, 150V 
0805W8F6801T5E"
"R18","0.5O","Top","FP-MCT0603-IPC_B","25.4323","32.6445","270","RES SMD 0.5 OHM 1% 1/8W 0603 RL06FTNR500"
"R17","10k","Top","FP-MCR10-IPC_C","24.3840","5.9690","270","Thick Film Chip Resistor, 0805, 10kO, 1%, 100ppm/°C, 0.125W, 150V 
0805W8F1002T5E"
"R16","2O","Top","FP-CR0805-IPC_B","14.9606","44.1960","90","Thick Film Chip Resistors 0805 2O 0.125W 1% 250ppm/°C 
RS-05L2R00FT"
"R13","1kO","Top","FP-MCR10-IPC_A","56.8437","14.6440","270","Thick Film Chip Resistor, 0805, 1kO, 1%, 100ppm/°C, 0.125W, 150V 0805W8F1001T5E"
"R15","100O","Top","RESC2012X65N","57.2770","8.8900","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHSAECR0805F100RK9"
"R14","100O","Top","RESC2012X65N","64.0080","14.6050","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHSAECR0805F100RK9"
"R10","1kO","Top","FP-MCR10-IPC_A","41.8577","14.6050","270","Thick Film Chip Resistor, 0805, 1kO, 1%, 100ppm/°C, 0.125W, 150V 0805W8F1001T5E"
"R12","100O","Top","RESC2012X65N","42.2910","8.8900","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHSAECR0805F100RK9"
"R11","100O","Top","RESC2012X65N","49.0220","14.6050","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHSAECR0805F100RK9"
"R7","1kO","Top","FP-MCR10-IPC_A","26.8717","14.6050","270","Thick Film Chip Resistor, 0805, 1kO, 1%, 100ppm/°C, 0.125W, 150V 0805W8F1001T5E"
"R9","100O","Top","RESC2012X65N","27.2257","9.0170","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS AECR0805F100RK9"
"R8","100O","Top","RESC2012X65N","34.0363","14.6660","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS AECR0805F100RK9"
"R6","5.1kO","Top","FP-MCR10-IPC_A","5.5000","27.9913","0","Thick Film Chip Resistor, 0805, 5.1kO, 1%, 100ppm/°C, 0.125W, 150V 0805W8F5101T5E"
"R5","5.1kO","Top","FP-MCR10-IPC_A","5.5880","14.6807","0","Thick Film Chip Resistor, 0805, 5.1kO, 1%, 100ppm/°C, 0.125W, 150V 0805W8F5101T5E"
"R4","105O","Top","RESC2012X65N","9.4622","17.3990","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 105O 0805 Chip Resistor - Surface Mount ROHS CR0805F105RP05Z"
"R3","30kO","Top","FP-MCR10-IPC_A","5.2070","51.7834","90","Thick Film Chip Resistor, 0805, 30kO, 1%, 100ppm/°C, 0.125W, 150V 0805W8F7501T5E"
"R2","7.5kO","Top","FP-MCR10-IPC_A","5.2070","47.2440","90","Thick Film Chip Resistor, 0805, 7.5kO, 1%, 100ppm/°C, 0.125W, 150V 0805W8F7501T5E"
"R1","154O","Top","RESC2012X65N","10.4140","71.3080","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 154O 0805 Chip Resistor - Surface Mount ROHS CR0805F81540G"
"Q3","","Top","SOT95P237X112-3N","60.5790","10.7950","180","MOSFET (N-Channel)IRLML6344TRPBF"
"Q2","","Top","SOT95P237X112-3N","45.5930","10.7950","180","MOSFET (N-Channel)IRLML6344TRPBF"
"Q1","","Top","SOT95P237X112-3N","30.4800","10.7950","180","MOSFET (N-Channel)IRLML6344TRPBF"
"L3","1uH","Top","INDPM7366X300N","70.1040","38.8620","270","Inductor MCS0630-1R0MN2"
"L2","1uH","Top","INDPM7366X300N","49.1490","38.8910","270","Inductor MCS0630-1R0MN2"
"L1","1uH","Top","INDPM7366X300N","28.1263","38.9350","270","Inductor MCS0630-1R0MN2"
"J9","5V3A-Out","Top","614004135023","61.5953","72.3752","0","USB 2.0 3A 1 Straight 4P Female -55?~+85? Type-A Plugin USB Connectors ROHS
916-252A1113Y10210"
"J8","Release Detection Switch","Top","FP-S2B-XH-A-1_LF_SN-MFG","43.5810","72.7210","0","CONN HEADER R/A 2POS 2.5MM HCZZ0139-2"
"J7","EPS Sensors","Top","FP-S3B-XH-A-1_LF_SN-MFG","7.8190","64.0810","90","CONN HEADER R/A 3POS 2.5MM 
HCZZ0139-3"
"J6","Bat-3","Bottom","FP-S2B-XH-A-1_LF_SN-MFG","60.4750","7.8190","0","CONN HEADER R/A 2POS 2.5MM HCZZ0139-2"
"J5","Bat-2","Bottom","FP-S2B-XH-A-1_LF_SN-MFG","45.4750","7.8190","0","CONN HEADER R/A 2POS 2.5MM HCZZ0139-2"
"J4","Bat-1","Bottom","FP-S2B-XH-A-1_LF_SN-MFG","30.4750","7.8190","0","CONN HEADER R/A 2POS 2.5MM HCZZ0139-2"
