Ref,Val,Package,PosX,PosY,Rot,Side
"J10","Conn_01x02_Pin","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",159.808000,-77.334000,180.000000,bottom
"J11","Conn_01x02_Pin","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",168.952000,-77.380000,180.000000,bottom
"J12","Conn_01x02_Pin","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",178.350000,-77.380000,180.000000,bottom
"C3","1nF","C_0805_2012Metric",152.601000,-97.356000,180.000000,top
"C5","1nF","C_0805_2012Metric",149.365000,-91.686000,90.000000,top
"C6","10uF","C_0805_2012Metric",153.750000,-106.340000,180.000000,top
"C7","10uF","C_0805_2012Metric",157.210000,-103.480000,-90.000000,top
"C8","10uF","C_0805_2012Metric",159.880000,-103.460000,-90.000000,top
"C9","2.2uF","C_0805_2012Metric",165.100000,-113.420000,-90.000000,top
"C10","0.1uF","C_0805_2012Metric",150.900000,-103.382000,90.000000,top
"C11","1nF","C_0805_2012Metric",186.360000,-94.350000,0.000000,top
"C12","1nF","C_0805_2012Metric",189.590000,-99.840000,-90.000000,top
"C13","10uF","C_0805_2012Metric",160.960000,-123.928000,-90.000000,top
"C14","10uF","C_0805_2012Metric",157.792500,-127.708000,180.000000,top
"C15","10uF","C_0805_2012Metric",163.390000,-123.938000,-90.000000,top
"C16","2.2uF","C_0805_2012Metric",170.030000,-134.500000,-90.000000,top
"C17","10uF","C_0805_2012Metric",183.526000,-109.548000,-90.000000,top
"C18","10uF","C_0805_2012Metric",179.734000,-113.747000,180.000000,top
"C19","10uF","C_0805_2012Metric",185.910000,-109.538000,-90.000000,top
"C20","2.2uF","C_0805_2012Metric",192.460000,-119.750000,-90.000000,top
"C21","0.1uF","C_0805_2012Metric",154.972500,-124.718000,90.000000,top
"C22","0.1uF","C_0805_2012Metric",176.843000,-110.730000,90.000000,top
"D1","LED","LED_0805_2012Metric",194.960000,-92.587500,-90.000000,top
"D2","LED","LED_0805_2012Metric",175.472500,-94.320000,180.000000,top
"D3","LED","LED_0805_2012Metric",203.300000,-129.288500,90.000000,top
"D4","LED","LED_0805_2012Metric",205.890000,-129.288500,90.000000,top
"D5","LED","LED_0805_2012Metric",203.300000,-133.352500,90.000000,top
"D6","LED","LED_0805_2012Metric",205.890000,-133.352500,90.000000,top
"D7","LED","LED_0805_2012Metric",160.550000,-113.042500,90.000000,top
"D8","D","D_0805_2012Metric",168.397500,-109.190000,0.000000,top
"D9","LED","LED_0805_2012Metric",175.536500,-91.800000,180.000000,top
"D11","LED","LED_0805_2012Metric",164.230000,-133.967500,90.000000,top
"D12","LED","LED_0805_2012Metric",203.106000,-118.990000,90.000000,top
"D13","LED","LED_0805_2012Metric",203.176000,-123.210000,90.000000,top
"D14","LED","LED_0805_2012Metric",206.060000,-119.012500,90.000000,top
"D15","LED","LED_0805_2012Metric",206.130000,-123.232500,90.000000,top
"D16","D","D_0805_2012Metric",173.052500,-130.048000,0.000000,top
"D17","LED","LED_0805_2012Metric",186.740000,-119.137500,90.000000,top
"D18","LED","LED_0805_2012Metric",202.617000,-107.662500,90.000000,top
"D19","LED","LED_0805_2012Metric",202.630000,-111.497500,90.000000,top
"D20","LED","LED_0805_2012Metric",205.184000,-107.627500,90.000000,top
"D21","LED","LED_0805_2012Metric",205.184000,-111.594500,90.000000,top
"D22","D","D_0805_2012Metric",195.397500,-115.220000,0.000000,top
"IC1","TP4366E","TP4366E",159.924000,-108.245000,0.000000,top
"IC2","TP4366E","TP4366E",163.690000,-128.966000,0.000000,top
"IC3","TP4366E","TP4366E",186.232000,-114.509000,0.000000,top
"J1","Conn_01x02_Pin","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",149.078000,-143.517500,180.000000,top
"J2","Conn_01x02_Pin","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",146.558000,-77.470000,0.000000,top
"J3","Conn_01x02_Pin","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",202.077500,-84.230000,-90.000000,top
"J4","Conn_01x03_Pin","JST_EH_S3B-EH_1x03_P2.50mm_Horizontal",136.398000,-88.820000,90.000000,top
"J6","USB_A","USB_A_Molex_105057_Vertical",194.710000,-75.915000,180.000000,top
"J9","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",134.105000,-129.281000,-90.000000,top
"L1","1.5uH","L_0805_2012Metric",154.630000,-109.247500,-90.000000,top
"L2","1.5uH","L_0805_2012Metric",158.652500,-130.760500,-90.000000,top
"L3","1.5uH","L_0805_2012Metric",180.650000,-116.788000,-90.000000,top
"R1","7.5k","R_0805_2012Metric",159.512000,-90.273500,90.000000,top
"R2","30k","R_0805_2012Metric",157.190000,-88.457500,90.000000,top
"R3","1k","R_0805_2012Metric",194.960000,-96.469500,90.000000,top
"R4","1k","R_0805_2012Metric",171.775000,-94.320000,0.000000,top
"R5","10K","R_0805_2012Metric",162.810000,-113.117500,-90.000000,top
"R6","1k5","R_0805_2012Metric",165.110000,-109.809500,-90.000000,top
"R7","1k","R_0805_2012Metric",153.797500,-104.210000,0.000000,top
"R8","1k","R_0805_2012Metric",171.654500,-91.800000,0.000000,top
"R10","10K","R_0805_2012Metric",166.530000,-134.087500,-90.000000,top
"R11","1k5","R_0805_2012Metric",168.790000,-130.985500,-90.000000,top
"R12","10K","R_0805_2012Metric",189.020000,-119.147500,-90.000000,top
"R13","1k5","R_0805_2012Metric",191.240000,-116.072500,-90.000000,top
"R14","1k","R_0805_2012Metric",157.802500,-125.438000,0.000000,top
"R15","1k","R_0805_2012Metric",179.787500,-111.558000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H5mm",186.570000,-143.500000,0.000000,top
"U1","ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",154.253000,-93.276000,180.000000,top
"U3","~","XB7608AJ",147.205000,-106.002520,-90.000000,top
"U4","ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",184.676000,-98.272000,0.000000,top
"U5","~","XB7608AJ",151.572500,-127.418000,-90.000000,top
"U6","~","XB7608AJ",173.405000,-113.490520,-90.000000,top
