Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",106.330000,-93.310000,-90.000000,top
"C2","1nF","C_0805_2012Metric",138.480000,-97.300000,-90.000000,top
"C3","1nF","C_0805_2012Metric",138.480000,-101.740000,-90.000000,top
"C4","10u","C_0805_2012Metric",153.790000,-79.610000,180.000000,top
"C5","10u","C_0805_2012Metric",144.330000,-89.280000,-90.000000,top
"D1","LED","LED_0805_2012Metric",155.937500,-98.500000,180.000000,top
"D2","LED","LED_0805_2012Metric",156.000000,-103.500000,180.000000,top
"J2","Conn_01x07_Male","PinHeader_1x07_P2.54mm_Vertical",102.720000,-94.245000,0.000000,top
"R1","7.5k","R_0603_1608Metric",119.790000,-79.315000,-90.000000,top
"R2","30k","R_0603_1608Metric",119.770000,-83.500000,-90.000000,top
"R3","1k","R_0603_1608Metric",151.595000,-103.720000,0.000000,top
"R4","1k","R_0603_1608Metric",151.000000,-98.500000,0.000000,top
"U1","AMS1117-5.0","SOT-223-3_TabPin2",151.500000,-86.000000,0.000000,top
"U2","ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",130.480000,-100.180000,0.000000,top
