Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",-179.210000,-122.810000,90.000000,bottom
"C1","100nF","C_0402_1005Metric",182.090000,-104.060000,180.000000,top
"C2","10nF","C_0402_1005Metric",168.590000,-109.560000,90.000000,top
"C3","100nF","C_0402_1005Metric",182.340000,-102.310000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",176.865000,-107.060000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",171.340000,-105.810000,0.000000,top
"C6","2.2nF","C_0402_1005Metric",171.390000,-114.310000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",112.115000,-102.310000,180.000000,top
"C8","1nF","C_0402_1005Metric",114.090000,-107.790000,-90.000000,top
"C9","22pF","C_0402_1005Metric",141.590000,-88.560000,90.000000,top
"C10","22pF","C_0402_1005Metric",141.590000,-84.580000,-90.000000,top
"D1","LED","LED_0603_1608Metric",181.890000,-115.610000,-90.000000,top
"D2","LED","LED_0603_1608Metric",117.090000,-81.560000,180.000000,top
"D3","D","D_0603_1608Metric",168.830000,-77.320000,0.000000,top
"J3","Conn_01x09_Male","PinHeader_1x09_P2.00mm_Vertical",136.840000,-98.810000,0.000000,top
"J4","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",111.340000,-86.060000,-90.000000,top
"Q1","BC547","TO-92_Inline",148.590000,-84.560000,90.000000,top
"R1","4k7","R_0402_1005Metric",181.340000,-112.060000,0.000000,top
"R2","4k7","R_0402_1005Metric",180.300000,-103.580000,90.000000,top
"R3","4k7","R_0402_1005Metric",179.090000,-109.310000,90.000000,top
"R4","330","R_0402_1005Metric",179.400000,-116.610000,180.000000,top
"R5","4k7","R_0402_1005Metric",175.340000,-92.560000,90.000000,top
"R6","30k","R_0402_1005Metric",116.840000,-95.800000,-90.000000,top
"R7","7k5","R_0402_1005Metric",116.840000,-98.560000,-90.000000,top
"R8","R_Photo","R_LDR_4.9x4.2mm_P2.54mm_Vertical",105.570000,-95.810000,0.000000,top
"R9","10k","R_0402_1005Metric",111.580000,-96.060000,0.000000,top
"R10","330","R_0402_1005Metric",113.090000,-81.560000,180.000000,top
"R11","10k","R_0402_1005Metric",165.080000,-78.070000,0.000000,top
"R12","20k","R_0402_1005Metric",173.080000,-79.070000,90.000000,top
"R13","10k","R_0402_1005Metric",173.080000,-81.820000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm",155.090000,-84.560000,0.000000,top
"U1","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",181.340000,-108.510000,180.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",172.370000,-110.372500,180.000000,top
"U3","ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",108.340000,-107.560000,0.000000,top
"U4","DHT11","Aosong_DHT11_5.5x12.0_P2.54mm",181.590000,-89.060000,0.000000,top
"U5","ATmega328P-P","DIP-28_W7.62mm",130.140000,-115.060000,180.000000,top
"Y1","Crystal","Crystal_HC49-4H_Vertical",137.590000,-84.110000,-90.000000,top
