Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",-167.300000,-138.010000,90.000000,bottom
"C1","1nF","C_0402_1005Metric",113.900000,-119.930000,90.000000,top
"C2","100nF","C_0402_1005Metric",152.815000,-121.315000,-90.000000,top
"C3","10nF","C_0402_1005Metric",167.685000,-114.365000,180.000000,top
"C4","100nF","C_0402_1005Metric",154.585000,-119.315000,0.000000,top
"C5","1nF","C_0402_1005Metric",114.530000,-123.080000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",161.135000,-116.090000,90.000000,top
"C7","0.1uF","C_0603_1608Metric",164.250000,-112.970000,0.000000,top
"C8","2.2nF","C_0402_1005Metric",163.045000,-121.815000,180.000000,top
"C9","0.1uF","C_0603_1608Metric",136.825000,-124.110000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",138.765000,-113.300000,0.000000,top
"C11","100nF","C_0402_1005Metric",133.910000,-107.570000,-90.000000,top
"D1","LED","LED_0603_1608Metric",166.000000,-132.500000,-90.000000,top
"J1","Conn_01x09_Male","PinHeader_1x09_P2.54mm_Vertical",162.850000,-95.140000,180.000000,top
"R1","4k7","R_0402_1005Metric",167.805000,-121.815000,0.000000,top
"R2","4k7","R_0402_1005Metric",165.565000,-121.815000,180.000000,top
"R3","4k7","R_0402_1005Metric",153.575000,-123.815000,180.000000,top
"R4","4k7","R_0402_1005Metric",158.065000,-121.555000,-90.000000,top
"R5","4k7","R_0402_1005Metric",156.075000,-123.825000,0.000000,top
"R6","30k","R_0402_1005Metric",109.000000,-111.790000,90.000000,top
"R7","7k5","R_0402_1005Metric",109.000000,-114.300000,90.000000,top
"R8","4k7","R_0402_1005Metric",166.000000,-129.277500,-90.000000,top
"R9","4k7","R_0402_1005Metric",152.597500,-104.302500,0.000000,top
"R10","R_Photo","R_LDR_4.9x4.2mm_P2.54mm_Vertical",109.910000,-102.870000,-90.000000,top
"R11","4k7","R_0402_1005Metric",109.900000,-108.800000,90.000000,top
"R12","10k","R_0402_1005Metric",143.400000,-123.300000,0.000000,top
"U1","ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",109.200000,-122.420000,0.000000,top
"U2","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",155.125000,-121.465000,-90.000000,top
"U3","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",165.555000,-118.145000,180.000000,top
"U4","DHT11","Aosong_DHT11_5.5x12.0_P2.54mm",154.660000,-108.680000,-90.000000,top
"U5","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",139.910000,-118.550000,90.000000,top
"U6","MCP3008","DIP-16_W7.62mm",124.000000,-106.965000,0.000000,top
