Ref,Val,Package,PosX,PosY,Rot,Side
"J9","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",-159.670000,-129.990000,90.000000,bottom
"J11","Conn_01x07_Female","PinSocket_1x07_P2.54mm_Vertical",-97.475000,-114.510000,180.000000,bottom
"C1","100n","C_0805_2012Metric",119.750000,-105.170000,90.000000,top
"D1","LED","LED_0805_2012Metric",164.470000,-94.257500,-90.000000,top
"J1","Conn_01x02_Light","PinSocket_1x02_P2.54mm_Vertical",96.360000,-92.970000,0.000000,top
"J2","Conn_01x03_DHT","PinSocket_1x03_P2.54mm_Vertical",148.080000,-71.850000,90.000000,top
"J3","Conn_01x05_HMC5883L","PinSocket_1x05_P2.54mm_Vertical",164.275000,-104.680000,0.000000,top
"J4","Conn_01x08_mpu6050","PinSocket_1x08_P2.54mm_Vertical",151.625000,-80.565000,0.000000,top
"J5","Conn_01x04_BME280","PinSocket_1x04_P2.54mm_Vertical",133.610000,-95.795000,90.000000,top
"J6","Conn_01x09_GPS","PinSocket_1x09_P2.54mm_Vertical",103.855000,-70.230000,0.000000,top
"J7","Conn_01x03_GUVA-S12SD","PinSocket_1x03_P2.54mm_Vertical",102.015000,-104.690000,0.000000,top
"J8","Conn_01x06_LLCA","PinSocket_1x06_P2.54mm_Vertical",127.340000,-110.210000,0.000000,top
"J10","Conn_01x06_LLCB","PinSocket_1x06_P2.54mm_Vertical",139.925000,-110.205000,0.000000,top
"R1","10k","R_0603_1608Metric",96.350000,-101.175000,-90.000000,top
"R2","10K","R_0603_1608Metric",98.530000,-76.930000,180.000000,top
"R3","R","R_0603_1608Metric",164.460000,-98.600000,90.000000,top
"U1","MCP3008","DIP-16_W7.62mm",109.356000,-106.441000,0.000000,top
